date,BRAZIL_BIGBEND,BRAZIL_DELRIO,BRAZIL_ELCENTRO,BRAZIL_ELPASO,BRAZIL_LAREDO,BRAZIL_RIOGRANDEVALLEY,BRAZIL_SANDIEGO,BRAZIL_TUCSON,BRAZIL_YUMA,COLOMBIA_BIGBEND,COLOMBIA_DELRIO,COLOMBIA_ELCENTRO,COLOMBIA_ELPASO,COLOMBIA_LAREDO,COLOMBIA_RIOGRANDEVALLEY,COLOMBIA_SANDIEGO,COLOMBIA_TUCSON,COLOMBIA_YUMA,CUBA_BIGBEND,CUBA_DELRIO,CUBA_ELCENTRO,CUBA_ELPASO,CUBA_LAREDO,CUBA_RIOGRANDEVALLEY,CUBA_SANDIEGO,CUBA_TUCSON,CUBA_YUMA,ECUADOR_BIGBEND,ECUADOR_DELRIO,ECUADOR_ELCENTRO,ECUADOR_ELPASO,ECUADOR_LAREDO,ECUADOR_RIOGRANDEVALLEY,ECUADOR_SANDIEGO,ECUADOR_TUCSON,ECUADOR_YUMA,ELSALVADOR_BIGBEND,ELSALVADOR_DELRIO,ELSALVADOR_ELCENTRO,ELSALVADOR_ELPASO,ELSALVADOR_LAREDO,ELSALVADOR_RIOGRANDEVALLEY,ELSALVADOR_SANDIEGO,ELSALVADOR_TUCSON,ELSALVADOR_YUMA,GUATEMALA_BIGBEND,GUATEMALA_DELRIO,GUATEMALA_ELCENTRO,GUATEMALA_ELPASO,GUATEMALA_LAREDO,GUATEMALA_RIOGRANDEVALLEY,GUATEMALA_SANDIEGO,GUATEMALA_TUCSON,GUATEMALA_YUMA,HAITI_BIGBEND,HAITI_DELRIO,HAITI_ELCENTRO,HAITI_ELPASO,HAITI_LAREDO,HAITI_RIOGRANDEVALLEY,HAITI_SANDIEGO,HAITI_TUCSON,HAITI_YUMA,HONDURAS_BIGBEND,HONDURAS_DELRIO,HONDURAS_ELCENTRO,HONDURAS_ELPASO,HONDURAS_LAREDO,HONDURAS_RIOGRANDEVALLEY,HONDURAS_SANDIEGO,HONDURAS_TUCSON,HONDURAS_YUMA,MEXICO_BIGBEND,MEXICO_DELRIO,MEXICO_ELCENTRO,MEXICO_ELPASO,MEXICO_LAREDO,MEXICO_RIOGRANDEVALLEY,MEXICO_SANDIEGO,MEXICO_TUCSON,MEXICO_YUMA,NICARAGUA_BIGBEND,NICARAGUA_DELRIO,NICARAGUA_ELCENTRO,NICARAGUA_ELPASO,NICARAGUA_LAREDO,NICARAGUA_RIOGRANDEVALLEY,NICARAGUA_SANDIEGO,NICARAGUA_TUCSON,NICARAGUA_YUMA,PERU_BIGBEND,PERU_DELRIO,PERU_ELCENTRO,PERU_ELPASO,PERU_LAREDO,PERU_RIOGRANDEVALLEY,PERU_SANDIEGO,PERU_TUCSON,PERU_YUMA,VENEZUELA_BIGBEND,VENEZUELA_DELRIO,VENEZUELA_ELCENTRO,VENEZUELA_ELPASO,VENEZUELA_LAREDO,VENEZUELA_RIOGRANDEVALLEY,VENEZUELA_SANDIEGO,VENEZUELA_TUCSON,VENEZUELA_YUMA
2020-01,4.0,23.0,59.0,806.0,37.0,23.0,51.0,0.0,138.0,1.0,3.0,2.0,18.0,0.0,18.0,12.0,4.0,2.0,6.0,17.0,1.0,311.0,83.0,41.0,13.0,163.0,20.0,70.0,130.0,3.0,624.0,142.0,349.0,27.0,206.0,14.0,8.0,124.0,12.0,158.0,113.0,698.0,94.0,102.0,21.0,223.0,110.0,43.0,688.0,507.0,1416.0,113.0,1352.0,128.0,0.0,121.0,0.0,0.0,7.0,0.0,362.0,0.0,0.0,30.0,524.0,58.0,283.0,263.0,1109.0,125.0,316.0,70.0,254.0,1213.0,1313.0,2666.0,4617.0,2410.0,5451.0,3690.0,258.0,0.0,25.0,2.0,35.0,30.0,93.0,19.0,10.0,4.0,1.0,4.0,1.0,10.0,6.0,19.0,14.0,17.0,0.0,0.0,3.0,3.0,23.0,32.0,13.0,25.0,144.0,0.0
2020-02,0.0,40.0,204.0,92.0,37.0,16.0,104.0,1.0,232.0,0.0,1.0,2.0,20.0,5.0,13.0,14.0,6.0,0.0,15.0,22.0,4.0,294.0,76.0,42.0,15.0,113.0,15.0,39.0,186.0,17.0,589.0,101.0,302.0,17.0,161.0,25.0,9.0,120.0,26.0,172.0,105.0,828.0,86.0,124.0,18.0,206.0,90.0,37.0,734.0,539.0,1595.0,96.0,1444.0,144.0,0.0,147.0,0.0,0.0,25.0,0.0,667.0,0.0,0.0,19.0,555.0,26.0,306.0,226.0,1400.0,92.0,299.0,54.0,271.0,1382.0,1534.0,2043.0,4914.0,2285.0,5370.0,3836.0,460.0,0.0,17.0,1.0,27.0,23.0,96.0,20.0,20.0,5.0,0.0,9.0,0.0,3.0,8.0,23.0,3.0,10.0,2.0,0.0,5.0,1.0,15.0,26.0,8.0,32.0,113.0,6.0
2020-03,0.0,89.0,7.0,107.0,35.0,16.0,47.0,1.0,25.0,1.0,3.0,0.0,9.0,5.0,9.0,11.0,1.0,1.0,13.0,36.0,5.0,172.0,54.0,39.0,12.0,79.0,22.0,68.0,157.0,10.0,613.0,91.0,255.0,14.0,161.0,12.0,14.0,119.0,20.0,220.0,68.0,836.0,71.0,85.0,8.0,140.0,101.0,35.0,679.0,569.0,1522.0,91.0,1149.0,43.0,0.0,89.0,0.0,0.0,8.0,11.0,476.0,2.0,0.0,19.0,668.0,31.0,348.0,215.0,1587.0,97.0,263.0,122.0,411.0,1296.0,1830.0,1850.0,4201.0,2664.0,5022.0,3737.0,302.0,0.0,30.0,3.0,27.0,13.0,108.0,14.0,15.0,5.0,2.0,5.0,0.0,3.0,7.0,39.0,13.0,8.0,0.0,1.0,5.0,1.0,3.0,46.0,13.0,8.0,89.0,0.0
2020-04,0.0,4.0,0.0,38.0,5.0,28.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0,21.0,0.0,80.0,1.0,18.0,3.0,22.0,3.0,22.0,118.0,0.0,312.0,56.0,108.0,1.0,65.0,0.0,6.0,61.0,10.0,81.0,32.0,281.0,31.0,46.0,5.0,110.0,68.0,30.0,213.0,184.0,385.0,34.0,315.0,18.0,0.0,14.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,10.0,684.0,26.0,161.0,168.0,590.0,46.0,150.0,56.0,342.0,1020.0,1070.0,1005.0,1792.0,1954.0,2550.0,2070.0,192.0,1.0,21.0,0.0,6.0,9.0,42.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0
2020-05,0.0,1.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,7.0,0.0,0.0,1.0,23.0,50.0,5.0,325.0,6.0,48.0,8.0,46.0,24.0,16.0,36.0,0.0,228.0,10.0,49.0,2.0,27.0,0.0,18.0,61.0,16.0,70.0,21.0,188.0,44.0,31.0,22.0,27.0,50.0,18.0,196.0,49.0,179.0,40.0,152.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,25.0,514.0,26.0,252.0,105.0,428.0,68.0,173.0,155.0,516.0,1511.0,1798.0,1739.0,3672.0,2750.0,3829.0,2768.0,405.0,1.0,16.0,5.0,8.0,9.0,23.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0
2020-06,0.0,9.0,1.0,39.0,3.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,1.0,0.0,52.0,57.0,3.0,618.0,5.0,89.0,17.0,20.0,86.0,7.0,3.0,4.0,99.0,16.0,15.0,1.0,1.0,0.0,5.0,96.0,11.0,78.0,42.0,225.0,39.0,38.0,8.0,17.0,53.0,10.0,271.0,87.0,294.0,34.0,284.0,14.0,0.0,89.0,0.0,0.0,2.0,2.0,60.0,0.0,1.0,13.0,768.0,25.0,272.0,99.0,626.0,65.0,198.0,81.0,563.0,2246.0,2686.0,2859.0,4315.0,4078.0,5708.0,4350.0,670.0,1.0,27.0,5.0,16.0,4.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0
2020-07,1.0,23.0,1.0,19.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,62.0,59.0,18.0,1131.0,14.0,212.0,19.0,15.0,37.0,2.0,20.0,0.0,98.0,4.0,14.0,2.0,10.0,1.0,20.0,135.0,11.0,151.0,49.0,456.0,33.0,68.0,24.0,21.0,128.0,21.0,493.0,270.0,698.0,46.0,716.0,25.0,0.0,126.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,33.0,863.0,23.0,299.0,136.0,1263.0,92.0,142.0,54.0,599.0,2604.0,3437.0,3277.0,5644.0,4796.0,6385.0,4792.0,599.0,1.0,24.0,0.0,28.0,2.0,38.0,9.0,8.0,0.0,0.0,1.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,9.0,0.0,6.0,1.0,9.0,0.0,9.0,0.0
2020-08,0.0,1.0,2.0,25.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,56.0,144.0,75.0,1501.0,14.0,243.0,27.0,9.0,112.0,35.0,55.0,2.0,438.0,21.0,69.0,2.0,63.0,0.0,41.0,197.0,8.0,237.0,71.0,755.0,55.0,95.0,19.0,142.0,230.0,22.0,728.0,539.0,1242.0,49.0,1139.0,55.0,0.0,44.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,42.0,1148.0,29.0,407.0,251.0,1852.0,68.0,189.0,42.0,799.0,3199.0,3307.0,3533.0,7204.0,5950.0,7010.0,5476.0,449.0,2.0,18.0,2.0,29.0,2.0,60.0,3.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,17.0,2.0,5.0,0.0,20.0,1.0,4.0,0.0
2020-09,0.0,43.0,3.0,95.0,3.0,12.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,31.0,178.0,20.0,1828.0,8.0,181.0,26.0,16.0,71.0,70.0,182.0,8.0,767.0,50.0,270.0,6.0,156.0,9.0,31.0,161.0,11.0,269.0,102.0,1423.0,71.0,128.0,23.0,308.0,298.0,40.0,907.0,759.0,1933.0,66.0,1530.0,71.0,0.0,775.0,0.0,5.0,0.0,21.0,81.0,0.0,0.0,80.0,1164.0,33.0,538.0,253.0,2384.0,77.0,276.0,41.0,874.0,3329.0,2899.0,3733.0,7160.0,6948.0,7219.0,6488.0,483.0,1.0,26.0,3.0,37.0,14.0,94.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,4.0,0.0,0.0,1.0,9.0,1.0,8.0,9.0,16.0,1.0,1.0,0.0
2020-10,0.0,6.0,8.0,1403.0,19.0,9.0,24.0,1.0,34.0,1.0,1.0,1.0,8.0,7.0,15.0,6.0,1.0,1.0,13.0,32.0,0.0,712.0,713.0,50.0,48.0,267.0,8.0,21.0,111.0,3.0,463.0,110.0,378.0,14.0,224.0,19.0,56.0,225.0,19.0,310.0,106.0,1525.0,105.0,180.0,56.0,98.0,181.0,47.0,649.0,420.0,1914.0,111.0,2268.0,221.0,0.0,82.0,0.0,0.0,3.0,0.0,145.0,0.0,0.0,91.0,1436.0,53.0,477.0,321.0,2519.0,160.0,551.0,111.0,364.0,1004.0,1675.0,2870.0,5222.0,2822.0,5118.0,3964.0,236.0,0.0,29.0,2.0,69.0,24.0,155.0,12.0,57.0,0.0,0.0,7.0,0.0,9.0,3.0,20.0,6.0,27.0,0.0,3.0,67.0,0.0,80.0,379.0,47.0,28.0,122.0,2.0
2020-11,3.0,71.0,67.0,1441.0,14.0,17.0,54.0,0.0,31.0,1.0,1.0,0.0,11.0,8.0,20.0,15.0,11.0,0.0,4.0,20.0,1.0,626.0,163.0,61.0,19.0,261.0,27.0,11.0,107.0,16.0,408.0,82.0,307.0,7.0,220.0,23.0,22.0,158.0,22.0,269.0,111.0,1243.0,83.0,206.0,61.0,70.0,176.0,69.0,706.0,472.0,1928.0,127.0,2532.0,160.0,0.0,271.0,0.0,6.0,4.0,0.0,178.0,0.0,0.0,71.0,963.0,44.0,495.0,290.0,2185.0,148.0,484.0,94.0,334.0,979.0,1474.0,2749.0,5019.0,2401.0,5204.0,3801.0,294.0,2.0,25.0,3.0,52.0,17.0,166.0,19.0,26.0,3.0,0.0,15.0,2.0,10.0,0.0,7.0,1.0,28.0,0.0,2.0,20.0,0.0,17.0,242.0,16.0,43.0,246.0,2.0
2020-12,1.0,37.0,40.0,1130.0,18.0,17.0,79.0,5.0,4.0,0.0,0.0,1.0,17.0,6.0,19.0,12.0,3.0,0.0,21.0,20.0,0.0,377.0,102.0,40.0,18.0,346.0,25.0,45.0,129.0,21.0,602.0,144.0,365.0,20.0,293.0,19.0,14.0,156.0,32.0,279.0,113.0,1030.0,104.0,167.0,44.0,138.0,202.0,64.0,884.0,593.0,2010.0,102.0,2289.0,208.0,0.0,241.0,0.0,0.0,2.0,0.0,414.0,0.0,0.0,77.0,995.0,62.0,376.0,258.0,1782.0,157.0,541.0,134.0,237.0,986.0,1336.0,2679.0,4187.0,2088.0,5079.0,3408.0,250.0,4.0,32.0,2.0,36.0,28.0,138.0,18.0,40.0,6.0,0.0,9.0,1.0,12.0,5.0,20.0,7.0,18.0,0.0,0.0,7.0,1.0,16.0,94.0,19.0,66.0,488.0,2.0
